CompanyCode,Category,ThisMonthRevenue,PreviousMonthRevenue,ThisMonthRevenueOfLastYear,RevenueGrowthRateFromLastMonth,RevenueGrowthRateInTheSameMonthLastYear,CumulativeRevenues,CumulativeRevenuesLastYear,GrowthRateOfCumulativeRevenues,CapitalStock,DataYear,DataMonth
1309,塑膠工業,1419625,1371229,1345676,3.5293885995701673,5.49530496196707,12086690,14809338,-18.384670536927445,3442310,2020,10
1310,塑膠工業,709251,642101,1007580,10.457856318554246,-29.60846781397011,6266452,10466940,-40.131002948330654,5278697,2020,10
1312,塑膠工業,1567152,1487844,1595381,5.3303975416777565,-1.769420596083318,13038337,17179281,-24.104291675536366,9266203,2020,10
1313,塑膠工業,4936665,5087822,4798646,-2.970956924200572,2.876207163437353,39998168,51624733,-22.52130776153361,13323476,2020,10
1314,塑膠工業,1294775,1224711,1931548,5.720859859999624,-32.96697778155138,14313110,26415314,-45.81510558610055,32848501,2020,10
1315,塑膠工業,214384,194188,155412,10.400230704265967,37.94558978714642,1845954,2047016,-9.822199728775935,1386000,2020,10
1316,建材營造,63269,54133,44975,16.876951212753774,40.67593107281823,1057270,464590,127.57054607288148,1846776,2020,10
1319,汽車工業,1488561,1627022,1807560,-8.51008775542064,-17.648044878178318,14115815,17577260,-19.69274505810348,5914770,2020,10
1321,塑膠工業,454209,508942,386564,-10.75427062415757,17.499042849308267,4039583,3878228,4.160534140849894,2272282,2020,10
1323,塑膠工業,293385,303129,335952,-3.214473046128876,-12.67056008001143,2790015,3018857,-7.580418681640104,912745,2020,10
1324,塑膠工業,82168,85306,94553,-3.678522026586641,-13.09847387179677,876090,951076,-7.884333113231749,751218,2020,10
1325,塑膠工業,474557,471539,53828,0.64003189555901,781.6173738574719,3467485,651235,432.44758036653434,852811,2020,10
1326,塑膠工業,22525959,20716904,24869514,8.732265207195054,-9.423404896452741,203110368,276042156,-26.420525421486712,58611862,2020,10
1337,塑膠工業,104094,79338,96614,31.203206534069423,7.742149170927608,750185,1017119,-26.244126793423387,2689547,2020,10
1338,汽車工業,636462,661004,665814,-3.7128368360857116,-4.4084383927042685,4750711,6033557,-21.261852668334786,838400,2020,10
1339,汽車工業,183957,206573,215992,-10.94818780769994,-14.831567835845773,1706911,2151485,-20.663588172820173,741388,2020,10
1340,塑膠工業,63877,81580,93568,-21.70017161068889,-31.732002393980853,538382,972457,-44.636935103557285,1529228,2020,10
1341,塑膠工業,243484,229233,280626,6.216818695388535,-13.235409406113474,2109495,2503972,-15.754049965414946,494000,2020,10
1402,紡織纖維,16790724,16832713,19963313,-0.2494487965190163,-15.892096667522068,167533437,210315551,-20.34186906131349,53528752,2020,10
1409,紡織纖維,2763433,2597618,2900775,6.383348128939668,-4.734665735880927,25591766,32692783,-21.720442092678372,16184092,2020,10
1410,紡織纖維,34020,40589,35521,-16.184187834142257,-4.225669322372681,337030,334033,0.8972167420584194,630000,2020,10
1413,紡織纖維,141414,122414,219241,15.52110052771742,-35.49837849672278,1218550,2610227,-53.31632076443926,1321124,2020,10
1414,紡織纖維,66216,60808,43515,8.893566635968954,52.16821785591176,555792,661622,-15.995538237845778,2200000,2020,10
1416,其他,15564,16627,18440,-6.393215853731882,-15.59652928416486,177040,222238,-20.337656026422124,1853421,2020,10
1417,紡織纖維,92852,92872,103663,-0.021535015935911797,-10.428986234239796,861229,1117555,-22.936320807477042,1899418,2020,10
1418,紡織纖維,5172,6159,8824,-16.02532878714077,-41.387126019945605,76837,189119,-59.371083814952485,568343,2020,10
1419,紡織纖維,220587,202648,264084,8.852295606174254,-16.4708956241196,1687385,1641335,2.8056429674624623,3000412,2020,10
1423,紡織纖維,14604,12877,27475,13.411508891822631,-46.8462238398544,178561,421899,-57.6768373473272,1384000,2020,10
1432,貿易百貨,105628,84413,86014,25.13238482224302,22.803264584835034,983707,996180,-1.2520829568953402,750000,2020,10
1434,紡織纖維,2374609,2328734,2796923,1.9699544902938682,-15.099235838812866,24001938,31240783,-23.171138188181768,16846646,2020,10
1435,其他,1268,1267,1362,0.07892659826361484,-6.901615271659326,12646,17437,-27.4760566611229,1397800,2020,10
1436,建材營造,92570,300717,330408,-69.21690493054932,-71.9831238953052,1609764,1055068,52.57443122149472,956340,2020,10
1437,其他,45203,43413,41724,4.123188906548728,8.33812673760905,471414,492221,-4.2271662525572875,2033712,2020,10
1439,紡織纖維,6211,4997,6760,24.294576746047632,-8.121301775147929,95746,145239,-34.07693525843609,920000,2020,10
1440,紡織纖維,1614790,1418244,2011385,13.858405182747116,-19.717508085224853,14212963,19323698,-26.4480173515442,16568158,2020,10
1441,紡織纖維,114920,91952,123806,24.978249521489477,-7.177358124808168,1286696,1221272,5.357037580489849,1008000,2020,10
1442,建材營造,96118,324999,25559,-70.42513976966083,276.0632262608084,1955491,480863,306.66281248505294,3091174,2020,10
1443,紡織纖維,54439,55232,58625,-1.4357618771726537,-7.1402985074626875,463576,562724,-17.619294716415148,1353430,2020,10
1444,紡織纖維,713503,652937,972078,9.275933206419607,-26.600231668652107,6775920,10268009,-34.009407276522644,9573029,2020,10
1445,紡織纖維,66097,70496,122584,-6.2400703586019075,-46.08023885662077,753204,1141835,-34.03565313727465,1306660,2020,10
1446,紡織纖維,5008,44365,24092,-88.71182238250874,-79.21301676905195,397406,369314,7.606535360154233,1377095,2020,10
1447,紡織纖維,1880469,1972834,1143626,-4.681843479988687,64.43041693700563,10385594,12440183,-16.51574578927014,9144872,2020,10
1449,紡織纖維,201824,126897,236571,59.04552511091673,-14.687768154169364,1572168,2068654,-24.00043699913084,820000,2020,10
1451,紡織纖維,699166,741504,750858,-5.709746677023993,-6.88439092345024,5728458,7259802,-21.093467838379066,1980000,2020,10
1452,紡織纖維,119450,116783,147973,2.283722802120172,-19.275813830901587,946297,1608246,-41.15968576946562,1326414,2020,10
1453,紡織纖維,56,252,56,-77.77777777777777,0.0,219185,669,32663.07922272048,1006149,2020,10
1454,紡織纖維,78705,92735,173464,-15.129131395913086,-54.627473135636215,956232,1627419,-41.24242128179651,1298338,2020,10
1455,紡織纖維,654240,729968,880881,-10.374153387545755,-25.72890095256908,6051751,10244244,-40.925352812760025,5500013,2020,10
1456,紡織纖維,20925,37980,100173,-44.905213270142184,-79.11113773172411,416885,691777,-39.737082903883774,937200,2020,10
1457,紡織纖維,249542,241966,373712,3.131018407544861,-33.226120649055964,2228078,4219124,-47.190980876599035,3016476,2020,10
1459,紡織纖維,167239,139676,248239,19.73352616054297,-32.62984462554232,1349360,2664843,-49.36437155960032,3586289,2020,10
1460,紡織纖維,858236,679479,854068,26.30795065042481,0.4880173475648309,5730559,7270356,-21.17911420018497,5098341,2020,10
1463,紡織纖維,24174,32314,39084,-25.19031998514576,-38.1486030089039,374601,478830,-21.767433118225675,1732683,2020,10
1464,紡織纖維,841717,867547,1122465,-2.977360304398493,-25.011737559745736,6817271,8765685,-22.22774375305524,3845656,2020,10
1465,紡織纖維,29407,38020,40831,-22.653866386112572,-27.978741642379564,339462,781298,-56.55153347378337,1036072,2020,10
1466,紡織纖維,262582,269260,196335,-2.4801307286637453,33.741818830060865,2078049,2777294,-25.177204861998767,1111573,2020,10
1467,紡織纖維,804509,1528050,540779,-47.35061025490003,48.76853576044928,7071552,5867331,20.524170189137106,2336246,2020,10
1468,紡織纖維,63282,69344,72704,-8.741924319335487,-12.959397007042256,790221,844266,-6.401418510279934,1604052,2020,10
1470,紡織纖維,54421,71277,62129,-23.648582291622823,-12.406444655474901,506752,685523,-26.078045521448587,857670,2020,10
1471,電子零組件業,68553,119662,85560,-42.71113636743493,-19.877279102384293,911970,782106,16.60439889222177,1504145,2020,10
1472,紡織纖維,53190,27688,72822,92.10488298179718,-26.95888605091868,277440,361638,-23.282398420519968,460528,2020,10
1473,紡織纖維,329912,581438,354161,-43.259298497862204,-6.846886020764567,5063981,6413500,-21.041849224292513,1471535,2020,10
1474,紡織纖維,275559,271516,278500,1.4890466860148206,-1.0560143626570917,2286810,2838698,-19.44158906653684,1298969,2020,10
1475,紡織纖維,25080,16286,5871,53.997298293012406,327.18446601941747,84516,48924,72.7495707628158,560167,2020,10
1476,紡織纖維,3128881,2614618,2649809,19.66876232015537,18.07949176714246,21978695,23035826,-4.589073558725438,2743671,2020,10
1477,紡織纖維,2123190,2690100,2237389,-21.07393777183004,-5.104119131720053,21006236,22835187,-8.00935416031408,2198565,2020,10
1503,電機機械,2207236,2177328,1987267,1.3736102231726226,11.068920280968788,20629372,21451118,-3.830784017877297,5209722,2020,10
1504,電機機械,3589714,3786157,3879865,-5.1884536219707735,-7.478378758023798,36767517,39803005,-7.626278468170932,19676928,2020,10
1506,電機機械,65655,73726,88712,-10.94729132192171,-25.990846785102352,705472,1018044,-30.703191610578717,1631617,2020,10
1507,電機機械,1475590,1427171,1097575,3.392655820500837,34.44092658816026,12311972,11100273,10.915938734119422,4108200,2020,10
1512,汽車工業,97578,99501,172861,-1.9326438930262009,-43.5511769572084,988044,1660979,-40.5143593025559,2367024,2020,10
1513,電機機械,998584,1132160,868367,-11.798332391181463,14.995618212115385,10925615,9719970,12.403793427345967,4590632,2020,10
1514,電機機械,379584,405959,375703,-6.4969615158181,1.0329968086493853,4060623,3844640,5.617769153938991,2174539,2020,10
1515,電機機械,1367284,1346360,896984,1.554116283906236,52.431258528580216,8221852,6697663,22.75702733923758,1814735,2020,10
1516,其他,55282,66346,64432,-16.67621258252193,-14.20101812763844,689946,528466,30.556365026321462,343947,2020,10
1517,電機機械,331423,352321,199223,-5.931522673925199,66.3578000532067,2627514,2450981,7.202544613768937,2278250,2020,10
1519,電機機械,608406,849914,676528,-28.415580870535134,-10.069354113946503,6474262,4794313,35.040453136872785,2610585,2020,10
1521,汽車工業,728048,395909,435962,83.89276323599616,66.99804111367504,3776016,4556947,-17.137153449447624,762300,2020,10
1522,汽車工業,1268689,1230277,1492929,3.1222236943387545,-15.020138265115087,11883685,14858937,-20.023316607372386,3128978,2020,10
1524,汽車工業,171669,184608,188301,-7.008905356214249,-8.832666847228639,1567883,1935128,-18.977814387472048,1653103,2020,10
1525,汽車工業,93931,82427,118935,13.956591893432975,-21.023247992601,821298,1027662,-20.080921548135475,734001,2020,10
1526,電機機械,109234,122780,99085,-11.032741488841829,10.242720896200233,993905,938460,5.908083455874518,600000,2020,10
1527,電機機械,298915,323881,243075,-7.708386722283803,22.972333641880077,2900881,2919194,-0.6273306947054563,1385706,2020,10
1528,電機機械,243531,290830,410436,-16.263452876250728,-40.665292518200154,2661450,3372094,-21.074264240557945,1993310,2020,10
1529,電機機械,29360,52072,80655,-43.61653095713628,-63.59804103899325,578291,410911,40.733881546125566,959679,2020,10
1530,電機機械,261212,209901,291315,24.445333752578602,-10.333487805296672,2502935,2890331,-13.40317077871012,965941,2020,10
1531,電機機械,131137,181850,112590,-27.88726972779764,16.47304378719247,1267363,1787297,-29.09052048987941,1836080,2020,10
1532,電機機械,1714970,1197780,892287,43.179047905291455,92.19937083023736,9755553,11464126,-14.903648128082333,3761221,2020,10
1533,汽車工業,249473,255406,231806,-2.3229681370053954,7.6214593237448565,2042523,2372304,-13.901295955324445,985474,2020,10
1535,電機機械,902626,793878,576022,13.698326443105866,56.699917711476296,7143151,7652577,-6.65692093003442,1237425,2020,10
1536,汽車工業,559302,510362,521274,9.589271928552675,7.295203674075438,4043573,5036229,-19.710303085900183,2545175,2020,10
1537,電機機械,616113,624602,677632,-1.3591054783686252,-9.07852639780884,5847438,6623013,-11.71030466043174,817853,2020,10
1538,電機機械,23851,15721,25008,51.71426754023281,-4.626519513755597,221408,294395,-24.79220095449991,214105,2020,10
1539,電機機械,276238,215803,160369,28.00470799757186,72.25149498968004,1842212,1860268,-0.9706128364300196,653700,2020,10
1540,電機機械,37804,19435,51323,94.51505016722409,-26.341016698166513,230108,562795,-59.11335388551782,854736,2020,10
1541,電機機械,464634,530327,363278,-12.387262952857387,27.900395840100423,4226074,3685823,14.657540527583663,788000,2020,10
1558,電機機械,678115,701611,455609,-3.348864256689248,48.837051067911304,5713885,5125664,11.475996085580327,605356,2020,10
1560,電機機械,420808,420571,420369,0.056351959597784926,0.10443205850098368,4248026,4065764,4.482847504183716,1410775,2020,10
1568,汽車工業,176727,172346,163780,2.5419795063418937,7.905116619855903,1402107,1656735,-15.369265452833435,1030865,2020,10
1582,電子零組件業,872133,973822,751850,-10.442257414599382,15.998270931701803,7862756,7081283,11.035754396484368,1237241,2020,10
1583,電機機械,427442,435996,553453,-1.961944604996376,-22.768148334185558,4213076,5202123,-19.012372448709886,1104003,2020,10
1587,汽車工業,186584,193477,121352,-3.5626973748817687,53.75436745995122,1426900,1252373,13.935704458655687,653566,2020,10
1589,電機機械,696479,831729,692514,-16.261306266824892,0.5725516018448724,6392943,6363682,0.4598124167738111,1106175,2020,10
1590,電機機械,1537348,1794693,1183761,-14.339221248425217,29.869796352473177,15250338,12987092,17.426888174812344,1890249,2020,10
1592,汽車工業,391394,529436,405986,-26.07340641739512,-3.594212608316543,4063032,4234917,-4.058757231841852,1109782,2020,10
1598,生技醫療業,1711714,1411781,560449,21.245008963854875,205.41833422844897,9380578,4729247,98.35246499072686,1311496,2020,10
1603,電器電纜,164642,165978,345203,-0.8049259540421021,-52.30574473570624,1843666,2205647,-16.411556336984113,1916880,2020,10
1604,電器電纜,551670,591889,530903,-6.795024067012565,3.9116373424147164,6525782,6038405,8.071287036891365,3872000,2020,10
1605,電器電纜,9667281,10659389,10086581,-9.307362739083825,-4.157008207240889,91208107,114167585,-20.110329915448414,32860002,2020,10
1608,電器電纜,684140,859677,580616,-20.418948046766406,17.830028797001805,6161118,6491208,-5.085185993115611,6327735,2020,10
1609,電器電纜,1552389,1621234,1443005,-4.246456711369241,7.580292514578952,14399901,15016872,-4.108518738123359,5950680,2020,10
1611,電器電纜,147703,159038,198437,-7.12722745507363,-25.566804577775315,1739937,1951805,-10.85497782821542,3227357,2020,10
1612,電器電纜,344641,336784,330359,2.33294930875576,4.3231756967420285,3784659,2954165,28.11264773633159,3160800,2020,10
1614,電器電纜,322581,471575,314822,-31.594974288289247,2.4645672792879787,4736736,4460999,6.181059444308326,2691134,2020,10
1615,電器電纜,246924,269800,261253,-8.47887323943662,-5.484721706544996,2552716,2423988,5.310587346141976,1230479,2020,10
1616,電器電纜,192755,216050,281937,-10.782226336496182,-31.631889393729807,2152281,2457134,-12.40685286191148,1941485,2020,10
1617,電器電纜,278099,294052,248427,-5.425230911539456,11.943951341842876,2361057,2371169,-0.4264563175378896,1442332,2020,10
1618,電器電纜,215094,443209,250665,-51.468945802093366,-14.1906528633834,2426645,2102592,15.412072337381671,2408646,2020,10
1626,電器電纜,645345,645779,752758,-0.0672056539466288,-14.269260506032484,7954670,8951824,-11.13911533560088,1395876,2020,10
1701,生技醫療業,613931,753371,671164,-18.508809072820693,-8.52742399771144,6678878,6600522,1.1871182309520367,2980810,2020,10
1702,食品工業,1518892,1768470,1511382,-14.112651048646569,0.496896218163244,14200458,14938606,-4.941210712699699,2941329,2020,10
1707,生技醫療業,733274,748192,798134,-1.9938732304007527,-8.126454956185302,7158461,7323909,-2.259012229671341,1362863,2020,10
1708,化學工業,341589,332745,363624,2.6578911779290446,-6.059831034255165,3409103,3610892,-5.588342160330467,2284418,2020,10
1709,化學工業,599376,824520,860765,-27.306068985591608,-30.367057210736963,7110432,7389157,-3.772081172453096,4770162,2020,10
1710,化學工業,1779869,1639701,1298296,8.548387785334034,37.09269688884507,15228228,19565289,-22.16711953500917,8857030,2020,10
1711,化學工業,663321,678137,749894,-2.1848092642047257,-11.544698317362187,6319708,7845920,-19.452301323490428,5477522,2020,10
1712,化學工業,1343723,1523205,1361685,-11.783180858781321,-1.3191009668168483,14826876,14388423,3.0472623719778045,4204925,2020,10
1713,化學工業,32338,39097,49064,-17.28777144026396,-34.09016794391,380313,491272,-22.58606230357114,1509517,2020,10
1714,化學工業,1827787,1881822,2198182,-2.8714192947048125,-16.850060641020626,22038535,23230515,-5.131095888317586,10168248,2020,10
1717,化學工業,3705269,3513059,3255454,5.471300083488493,13.817274026909914,30179480,33447070,-9.769435708419305,12402794,2020,10
1718,化學工業,2269616,4872746,2928161,-53.42223871303778,-22.49005433785916,26271513,30383084,-13.532434692936373,16213672,2020,10
1720,生技醫療業,370225,359392,353035,3.0142574125189214,4.869205602843911,3558046,3258728,9.185117628718935,1786960,2020,10
1721,化學工業,193640,201278,290691,-3.794751537674261,-33.386310549690215,2314031,2733577,-15.347875695471537,2223473,2020,10
1722,化學工業,752587,830979,1552315,-9.433692066827199,-51.51840960114411,8765689,11087911,-20.943728714994194,9800000,2020,10
1723,化學工業,452816,393207,607351,15.159699598430345,-25.44410069300948,4363435,6651259,-34.39685629442486,2369044,2020,10
1724,化學工業,149601,152473,164775,-1.8836121805172064,-9.208921256258536,1444962,1566842,-7.778703915263951,1278139,2020,10
1725,化學工業,557958,636485,748021,-12.337604185487482,-25.40877863054647,5500202,7280192,-24.44976725888548,1818299,2020,10
1726,化學工業,732255,731228,766438,0.14044866990870153,-4.459982412145536,6487438,6475697,0.18130866839507775,1620000,2020,10
1727,化學工業,145753,164133,215388,-11.198235577245283,-32.330027670993736,1513735,1938987,-21.93165812870329,1102500,2020,10
1730,化學工業,244458,324815,241197,-24.73931314748395,1.3520068657570368,2483454,2964823,-16.236011390899222,632338,2020,10
1731,生技醫療業,87151,99118,85606,-12.073488165620775,1.8047800387823285,882763,939440,-6.033062249850974,1329152,2020,10
1732,化學工業,43696,51174,47409,-14.612889357877044,-7.831846273914236,517429,494743,4.585411011373582,424439,2020,10
1733,生技醫療業,161526,150014,187664,7.673950431293079,-13.928084235655213,1712133,1720116,-0.46409660743810294,999501,2020,10
1734,生技醫療業,180624,237151,190643,-23.83586828645041,-5.2553726074390354,2029704,1913325,6.08255262435812,1677220,2020,10
1735,化學工業,239107,254887,268113,-6.190978747444947,-10.818572765960619,1864741,2607845,-28.49494506000165,993880,2020,10
1736,生技醫療業,2715434,3066687,2244246,-11.453826230065214,20.99538107676253,21355988,19356037,10.332440468056557,3036166,2020,10
1737,食品工業,232717,282412,242350,-17.59663187116695,-3.974829791623685,2535349,2413317,5.056608808540278,2000000,2020,10
1760,生技醫療業,115119,129161,106610,-10.871702758572635,7.981427633430259,1182573,1215672,-2.722691647089017,767390,2020,10
1762,生技醫療業,240784,62016,82561,288.26109391124874,191.6437543149913,1224760,963069,27.17261172356291,775600,2020,10
1773,化學工業,675711,650400,677153,3.8916051660516606,-0.21295039673456367,6351923,6148926,3.301340754466715,1800000,2020,10
1776,化學工業,109407,124033,142465,-11.792023090629106,-23.2042957919489,1086616,1345908,-19.265209806316626,703469,2020,10
1783,生技醫療業,19463,51287,30837,-62.05081209663268,-36.884262412037494,354229,371184,-4.5678154230785815,694650,2020,10
1786,生技醫療業,50982,23850,38494,113.76100628930814,32.44141944199096,385936,346556,11.363242881381366,610050,2020,10
1789,生技醫療業,311527,268571,217414,15.994280841937512,43.28746078909362,2520457,2290645,10.032632730082577,7907392,2020,10
1795,生技醫療業,1023290,1020621,739594,0.26150745477508297,38.35834255010182,8620083,6786061,27.026311729293326,2453039,2020,10
1802,玻璃陶瓷,4127169,4199290,3760060,-1.7174569986831107,9.763381435402627,32662156,34126621,-4.2912686843505545,29080608,2020,10
1805,建材營造,199,108,22172,84.25925925925925,-99.10247158578389,126954,127160,-0.1620006291286568,1002654,2020,10
1806,玻璃陶瓷,304651,264681,404064,15.10119729032307,-24.603280668408967,3039250,3926369,-22.5938774475858,4337820,2020,10
1808,建材營造,443269,1794914,280229,-75.30416499063466,58.18098769220887,5609962,2874230,95.18138771079559,3699966,2020,10
1809,玻璃陶瓷,177115,209589,185716,-15.494133757019695,-4.631264942169763,1515090,1902072,-20.345286613755945,1670419,2020,10
1810,玻璃陶瓷,411014,558710,448020,-26.43518104204328,-8.259899111646801,4175640,4458166,-6.337269630605949,3698536,2020,10
1817,玻璃陶瓷,203519,205573,224399,-0.9991584497964228,-9.304854299707218,1886499,1863922,1.2112631322555345,726000,2020,10
1903,造紙工業,15160,13217,12799,14.700764167360218,18.446753652629113,131398,138661,-5.237954435637995,2600391,2020,10
1904,造紙工業,3366103,3778583,3522377,-10.916261466269233,-4.43660630307318,32279584,32412422,-0.4098366977944444,11082745,2020,10
1905,造紙工業,1600126,1539235,1655313,3.9559261581240026,-3.333931407534406,15155600,17319674,-12.494888760608314,11028353,2020,10
1906,造紙工業,101929,85805,117312,18.791445719946392,-13.112895526459356,1117692,1042405,7.222432739674119,1510000,2020,10
1907,造紙工業,6743318,6635793,6227481,1.6203790564292768,8.283236833641082,59069726,61648310,-4.182732665339893,16603714,2020,10
1909,造紙工業,4179763,4189910,3976955,-0.24217703960228265,5.099579955015836,32724216,38973230,-16.034118804112467,12176857,2020,10
2002,鋼鐵工業,27088765,26127823,27677766,3.67784947104089,-2.128065538237443,254266097,309483414,-17.841769381541074,157731289,2020,10
2006,鋼鐵工業,3914211,3690315,3692862,6.067124351173273,5.9939689054180745,34009045,37520402,-9.35852712878716,10040606,2020,10
2007,鋼鐵工業,485649,461587,474870,5.212885111582432,2.269884389411839,4608640,5676919,-18.817936278463726,5306516,2020,10
2008,鋼鐵工業,95624,89423,56484,6.934457578028023,69.29395935132071,756333,996677,-24.114532591802558,2008522,2020,10
2009,鋼鐵工業,185396,198501,208256,-6.601981853995698,-10.976874615857406,1824303,2110657,-13.567055187081554,3596221,2020,10
2010,鋼鐵工業,1748007,1695910,1511243,3.0719200900991215,15.666838489905329,15470964,13548647,14.188258060011453,6476553,2020,10
2012,鋼鐵工業,661541,681066,789546,-2.8668293528086854,-16.2124816033518,6434800,7809987,-17.608057478200667,2877740,2020,10
2013,鋼鐵工業,1162396,1050965,998959,10.602731775082901,16.360731521513895,10579754,13550309,-21.922415201011287,2000000,2020,10
2014,鋼鐵工業,3181690,3415540,2322494,-6.846647967817679,36.994541213023595,30374535,35505454,-14.451072784479814,14355444,2020,10
2015,鋼鐵工業,2291325,2303545,2369544,-0.5304867063591118,-3.3010148788121265,21981315,22980750,-4.349009497079077,5815994,2020,10
2017,鋼鐵工業,329038,337016,247303,-2.3672466589123364,33.05054932613029,2816985,3353027,-15.98680833766027,3418674,2020,10
2020,鋼鐵工業,397388,422015,346496,-5.835574564885135,14.687615441448095,4171841,3782997,10.278728743374632,2225261,2020,10
2022,鋼鐵工業,555853,686857,964411,-19.072965697372233,-42.36347366423652,6761438,9595278,-29.53369355218265,4797519,2020,10
2023,鋼鐵工業,5376577,4909104,4560181,9.522572754620802,17.90271044066014,44509973,50244332,-11.41294703649359,18905695,2020,10
2024,鋼鐵工業,105395,111947,101381,-5.852769614192432,3.9593217664059335,933005,1040560,-10.336261243945568,975000,2020,10
2025,鋼鐵工業,19931,87989,121237,-77.3483049017491,-83.56029924857924,645288,1020994,-36.798061496933386,2811672,2020,10
2027,鋼鐵工業,5292296,5005162,6543031,5.736757371689468,-19.115529179060896,48165777,68573843,-29.760715029490186,16584658,2020,10
2028,鋼鐵工業,946260,809010,802211,16.96517966403382,17.956497729400372,6934159,8011128,-13.44341271291633,3257148,2020,10
2029,鋼鐵工業,844643,827119,802790,2.1186794161420544,5.213443117129013,7530702,8389441,-10.235950166405605,3211800,2020,10
2030,鋼鐵工業,875719,980460,994610,-10.682842747281887,-11.953529524135089,8603169,10142112,-15.173792204227285,2805260,2020,10
