CapitalStock,Category,CompanyCode,CompanyName,CumulativeRevenues,CumulativeRevenuesLastYear,EPS,GrowthRateOfCumulativeRevenues,PreviousMonthRevenue,RevenueGrowthRateFromLastMonth,RevenueGrowthRateInTheSameMonthLastYear,ThisMonthRevenue,ThisMonthRevenueOfLastYear,YearMonth
1036072670,紡織纖維,1465,偉全,339462,781298,1.83481204509735,-56.55153347378337,38020,-22.653866386112572,-27.978741642379564,29407,40831,109/10
1111573200,紡織纖維,1466,聚隆,2078049,2777294,-0.424482554197311,-25.177204861998767,269260,-2.4801307286637453,33.741818830060865,262582,196335,109/10
2336246670,紡織纖維,1467,南緯,7071552,5867331,-1.24420034885406,20.524170189137106,1528050,-47.35061025490003,48.768535760449275,804509,540779,109/10
1604052440,紡織纖維,1468,昶和,790221,844266,-0.794286966323853,-6.401418510279935,69344,-8.741924319335487,-12.959397007042254,63282,72704,109/10
857670000,紡織纖維,1470,大統新創,506752,685523,0.476025372743607,-26.078045521448587,71277,-23.648582291622823,-12.4064446554749,54421,62129,109/10
1504145360,電子零組件業,1471,首利,911970,782106,-2.66345477104187,16.60439889222177,119662,-42.71113636743494,-19.877279102384293,68553,85560,109/10
460528510,紡織纖維,1472,三洋紡,277440,361638,-0.248759180307388,-23.282398420519968,27688,92.10488298179718,-26.95888605091868,53190,72822,109/10
1471535340,紡織纖維,1473,台南,5063981,6413500,0.279060274362564,-21.04184922429251,581438,-43.2592984978622,-6.846886020764567,329912,354161,109/10
1298969690,紡織纖維,1474,弘裕,2286810,2838698,0.252722531557083,-19.441589066536842,271516,1.4890466860148206,-1.0560143626570915,275559,278500,109/10
560167490,紡織纖維,1475,本盟,84516,48924,-1.30329787731171,72.7495707628158,16286,53.997298293012406,327.18446601941747,25080,5871,109/10
2743671110,紡織纖維,1476,儒鴻,21978695,23035826,11.0266580581665,-4.589073558725439,2614618,19.668762320155373,18.07949176714246,3128881,2649809,109/10
2198565810,紡織纖維,1477,聚陽,21006236,22835187,7.5618109703064,-8.00935416031408,2690100,-21.073937771830042,-5.104119131720054,2123190,2237389,109/10
5209722230,電機機械,1503,士電,20629372,21451118,2.34953808784485,-3.8307840178772965,2177328,1.3736102231726226,11.068920280968788,2207236,1987267,109/10
19676928860,電機機械,1504,東元,36767517,39803005,2.00913143157959,-7.626278468170933,3786157,-5.188453621970774,-7.478378758023797,3589714,3879865,109/10
1631617510,電機機械,1506,正道,705472,1018044,-1.02336585521698,-30.703191610578717,73726,-10.94729132192171,-25.990846785102352,65655,88712,109/10
4108200000,電機機械,1507,永大,12311972,11100273,1.16338312625885,10.915938734119422,1427171,3.392655820500837,34.44092658816026,1475590,1097575,109/10
2367024940,汽車工業,1512,瑞利,988044,1660979,-0.476800173521042,-40.5143593025559,99501,-1.9326438930262007,-43.55117695720839,97578,172861,109/10
4590632480,電機機械,1513,中興電,10925615,9719970,0.715989589691162,12.403793427345969,1132160,-11.798332391181459,14.995618212115385,998584,868367,109/10
2174539740,電機機械,1514,亞力,4060623,3844640,0.758587956428528,5.6177691539389905,405959,-6.4969615158181,1.0329968086493853,379584,375703,109/10
1814735000,電機機械,1515,力山,8221852,6697663,3.55806279182434,22.75702733923758,1346360,1.5541162839062361,52.43125852858022,1367284,896984,109/10
343947940,其他,1516,川飛,689946,528466,1.60063421726227,30.556365026321465,66346,-16.67621258252193,-14.20101812763844,55282,64432,109/10
2278250070,電機機械,1517,利奇,2627514,2450981,-0.190807551145554,7.202544613768936,352321,-5.9315226739251985,66.3578000532067,331423,199223,109/10
2610585480,電機機械,1519,華城,6474262,4794313,1.66812264919281,35.04045313687279,849914,-28.415580870535138,-10.069354113946503,608406,676528,109/10
762300000,汽車工業,1521,大億,3776016,4556947,3.72075533866882,-17.137153449447624,395909,83.89276323599616,66.99804111367504,728048,435962,109/10
3128978810,汽車工業,1522,堤維西,11883685,14858937,2.37739372253418,-20.023316607372383,1230277,3.1222236943387545,-15.020138265115087,1268689,1492929,109/10
1653103970,汽車工業,1524,耿鼎,1567883,1935128,0.803684830665588,-18.977814387472044,184608,-7.008905356214249,-8.832666847228639,171669,188301,109/10
734001350,汽車工業,1525,江申,821298,1027662,4.29546117782593,-20.080921548135475,82427,13.956591893432977,-21.023247992601,93931,118935,109/10
600000000,電機機械,1526,日馳,993905,938460,1.7077385187149,5.908083455874518,122780,-11.03274148884183,10.242720896200233,109234,99085,109/10
1385706400,電機機械,1527,鑽全,2900881,2919194,3.08387112617493,-0.6273306947054563,323881,-7.708386722283802,22.972333641880077,298915,243075,109/10
1993310000,電機機械,1528,恩德,2661450,3372094,-1.61571478843689,-21.074264240557945,290830,-16.26345287625073,-40.66529251820016,243531,410436,109/10
959679820,電機機械,1529,樂士,578291,410911,0.0708494484424591,40.73388154612556,52072,-43.61653095713627,-63.598041038993244,29360,80655,109/10
965941710,電機機械,1530,亞崴,2502935,2890331,-0.172823995351791,-13.40317077871012,209901,24.4453337525786,-10.333487805296672,261212,291315,109/10
1836080800,電機機械,1531,高林股,1267363,1787297,-0.172828286886215,-29.09052048987941,181850,-27.887269727797637,16.47304378719247,131137,112590,109/10
3761221120,電機機械,1532,勤美,9755553,11464126,1.02761137485504,-14.903648128082333,1197780,43.179047905291455,92.19937083023736,1714970,892287,109/10
985474860,汽車工業,1533,車王電,2042523,2372304,1.67688643932343,-13.901295955324445,255406,-2.3229681370053954,7.621459323744856,249473,231806,109/10
1237425520,電機機械,1535,中宇,7143151,7652577,1.42655098438263,-6.656920930034419,793878,13.698326443105868,56.699917711476296,902626,576022,109/10
2545175130,汽車工業,1536,和大,4043573,5036229,2.41944670677185,-19.710303085900186,510362,9.589271928552675,7.295203674075438,559302,521274,109/10
817853940,電機機械,1537,廣隆,5847438,6623013,9.7732982635498,-11.71030466043174,624602,-1.3591054783686252,-9.07852639780884,616113,677632,109/10
214105510,電機機械,1538,正峰新,221408,294395,-2.27724814414978,-24.792200954499908,15721,51.71426754023281,-4.626519513755598,23851,25008,109/10
653700000,電機機械,1539,巨庭,1842212,1860268,-0.760486721992493,-0.9706128364300197,215803,28.00470799757186,72.25149498968005,276238,160369,109/10
854736120,電機機械,1540,喬福,230108,562795,1.03672516345978,-59.11335388551782,19435,94.51505016722408,-26.341016698166513,37804,51323,109/10
788000000,電機機械,1541,錩泰,4226074,3685823,3.12644553184509,14.657540527583663,530327,-12.387262952857387,27.90039584010042,464634,363278,109/10
605356310,電機機械,1558,伸興,5713885,5125664,8.82489681243896,11.475996085580327,701611,-3.348864256689248,48.837051067911304,678115,455609,109/10
1410775000,電機機械,1560,中砂,4248026,4065764,3.65367221832275,4.482847504183716,420571,0.05635195959778492,0.10443205850098367,420808,420369,109/10
1030865590,汽車工業,1568,倉佑,1402107,1656735,1.15232527256012,-15.369265452833435,172346,2.5419795063418937,7.905116619855904,176727,163780,109/10
1237241710,電子零組件業,1582,信錦,7862756,7081283,7.42548179626465,11.035754396484366,973822,-10.442257414599382,15.998270931701802,872133,751850,109/10
1104003720,電機機械,1583,程泰,4213076,5202123,3.76301908493042,-19.012372448709883,435996,-1.961944604996376,-22.768148334185558,427442,553453,109/10
653566180,汽車工業,1587,吉茂,1426900,1252373,-0.281211823225021,13.935704458655689,193477,-3.5626973748817687,53.75436745995122,186584,121352,109/10
1106175190,電機機械,1589,永冠-KY,6392943,6363682,3.97353768348694,0.45981241677381113,831729,-16.261306266824892,0.5725516018448724,696479,692514,109/10
1890249980,電機機械,1590,亞德客-KY,15250338,12987092,11.5049543380737,17.426888174812344,1794693,-14.339221248425218,29.869796352473177,1537348,1183761,109/10
1109782500,汽車工業,1592,英瑞-KY,4063032,4234917,-2.17491626739502,-4.058757231841852,529436,-26.073406417395116,-3.594212608316543,391394,405986,109/10
1311496480,生技醫療業,1598,岱宇,9380578,4729247,2.18128752708435,98.35246499072686,1411781,21.245008963854875,205.41833422844897,1711714,560449,109/10
1916880000,電器電纜,1603,華電,1843666,2205647,1.16628324985504,-16.411556336984113,165978,-0.804925954042102,-52.305744735706234,164642,345203,109/10
3872000000,電器電纜,1604,聲寶,6525782,6038405,0.749392628669739,8.071287036891365,591889,-6.795024067012565,3.911637342414716,551670,530903,109/10
32860002580,電器電纜,1605,華新,91208107,114167585,0.225538641214371,-20.110329915448418,10659389,-9.307362739083825,-4.157008207240888,9667281,10086581,109/10
6327735060,電器電纜,1608,華榮,6161118,6491208,0.268437057733536,-5.085185993115611,859677,-20.418948046766403,17.830028797001805,684140,580616,109/10
5950680220,電器電纜,1609,大亞,14399901,15016872,0.973467469215393,-4.108518738123359,1621234,-4.246456711369241,7.580292514578952,1552389,1443005,109/10
3227357420,電器電纜,1611,中電,1739937,1951805,0.76180899143219,-10.854977828215421,159038,-7.12722745507363,-25.566804577775315,147703,198437,109/10
3160800630,電器電纜,1612,宏泰,3784659,2954165,0.444047123193741,28.112647736331585,336784,2.3329493087557602,4.323175696742029,344641,330359,109/10
2691134060,電器電纜,1614,三洋電,4736736,4460999,0.755395531654358,6.181059444308326,471575,-31.594974288289244,2.4645672792879787,322581,314822,109/10
1230479620,電器電纜,1615,大山,2552716,2423988,1.93215763568878,5.310587346141977,269800,-8.47887323943662,-5.484721706544996,246924,261253,109/10
1941485150,電器電纜,1616,億泰,2152281,2457134,-0.462201684713364,-12.40685286191148,216050,-10.782226336496182,-31.631889393729804,192755,281937,109/10
1442332350,電器電纜,1617,榮星,2361057,2371169,0.309182077646255,-0.42645631753788954,294052,-5.4252309115394555,11.943951341842876,278099,248427,109/10
2408646840,電器電纜,1618,合機,2426645,2102592,0.224067360162735,15.41207233738167,443209,-51.468945802093366,-14.1906528633834,215094,250665,109/10
1395876500,電器電纜,1626,艾美特-KY,7954670,8951824,1.79154098033905,-11.139115335600879,645779,-0.0672056539466288,-14.269260506032483,645345,752758,109/10
2980810800,生技醫療業,1701,中化,6678878,6600522,0.912522912025452,1.1871182309520367,753371,-18.508809072820696,-8.52742399771144,613931,671164,109/10
2941329620,食品工業,1702,南僑,14200458,14938606,3.68384480476379,-4.941210712699699,1768470,-14.11265104864657,0.496896218163244,1518892,1511382,109/10
1362863730,生技醫療業,1707,葡萄王,7158461,7323909,8.38721561431885,-2.259012229671341,748192,-1.9938732304007527,-8.126454956185302,733274,798134,109/10
2284418810,化學工業,1708,東鹼,3409103,3610892,0.931561470031738,-5.588342160330467,332745,2.6578911779290446,-6.059831034255165,341589,363624,109/10
4770162720,化學工業,1709,和益,7110432,7389157,0.83620285987854,-3.772081172453096,824520,-27.306068985591615,-30.36705721073696,599376,860765,109/10
8857030290,化學工業,1710,東聯,15228228,19565289,-0.300673812627792,-22.167119535009167,1639701,8.548387785334034,37.09269688884507,1779869,1298296,109/10
5477522260,化學工業,1711,永光,6319708,7845920,0.635670900344849,-19.452301323490424,678137,-2.1848092642047257,-11.544698317362187,663321,749894,109/10
4204925850,化學工業,1712,興農,14826876,14388423,1.83601772785187,3.0472623719778045,1523205,-11.78318085878132,-1.3191009668168483,1343723,1361685,109/10
1509517000,化學工業,1713,國化,380313,491272,0.444035917520523,-22.586062303571136,39097,-17.28777144026396,-34.09016794391,32338,49064,109/10
10168248080,化學工業,1714,和桐,22038535,23230515,-0.36690965294838,-5.131095888317586,1881822,-2.8714192947048125,-16.850060641020626,1827787,2198182,109/10
12402794550,化學工業,1717,長興,30179480,33447070,1.02553963661194,-9.769435708419303,3513059,5.471300083488493,13.817274026909917,3705269,3255454,109/10
16213672170,化學工業,1718,中纖,26271513,30383084,-1.51978492736816,-13.532434692936372,4872746,-53.422238713037785,-22.490054337859153,2269616,2928161,109/10
1786960890,生技醫療業,1720,生達,3558046,3258728,1.88665497303009,9.185117628718936,359392,3.014257412518921,4.869205602843911,370225,353035,109/10
2223473440,化學工業,1721,三晃,2314031,2733577,-0.34665784239769,-15.347875695471538,201278,-3.7947515376742613,-33.38631054969022,193640,290691,109/10
9800000000,化學工業,1722,台肥,8765689,11087911,1.86914050579071,-20.943728714994194,830979,-9.4336920668272,-51.5184096011441,752587,1552315,109/10
2369044800,化學工業,1723,中碳,4363435,6651259,5.41897583007813,-34.39685629442486,393207,15.159699598430343,-25.444100693009478,452816,607351,109/10
1278139000,化學工業,1724,台硝,1444962,1566842,0.763699889183044,-7.778703915263951,152473,-1.8836121805172064,-9.208921256258535,149601,164775,109/10
1818299780,化學工業,1725,元禎,5500202,7280192,0.689597606658936,-24.44976725888548,636485,-12.337604185487482,-25.40877863054647,557958,748021,109/10
1620000000,化學工業,1726,永記,6487438,6475697,4.08579397201538,0.18130866839507778,731228,0.14044866990870153,-4.459982412145536,732255,766438,109/10
1102500000,化學工業,1727,中華化,1513735,1938987,0.0367149412631989,-21.931658128703287,164133,-11.198235577245283,-32.33002767099374,145753,215388,109/10
632338510,化學工業,1730,花仙子,2483454,2964823,2.51662397384644,-16.236011390899222,324815,-24.73931314748395,1.3520068657570368,244458,241197,109/10
1329152440,生技醫療業,1731,美吾華,882763,939440,0.611542224884033,-6.033062249850975,99118,-12.073488165620775,1.8047800387823283,87151,85606,109/10
424439570,化學工業,1732,毛寶,517429,494743,0.430942565202713,4.585411011373582,51174,-14.612889357877046,-7.831846273914236,43696,47409,109/10
999501920,生技醫療業,1733,五鼎,1712133,1720116,0.589354395866394,-0.464096607438103,150014,7.673950431293079,-13.928084235655213,161526,187664,109/10
1677220220,生技醫療業,1734,杏輝,2029704,1913325,0.817673325538635,6.08255262435812,237151,-23.835868286450406,-5.2553726074390354,180624,190643,109/10
993880000,化學工業,1735,日勝化,1864741,2607845,1.30029666423798,-28.494945060001648,254887,-6.190978747444946,-10.81857276596062,239107,268113,109/10
3036166170,生技醫療業,1736,喬山,21355988,19356037,4.15124225616455,10.332440468056555,3066687,-11.453826230065214,20.99538107676253,2715434,2244246,109/10
2000000000,食品工業,1737,臺鹽,2535349,2413317,2.00864052772522,5.056608808540279,282412,-17.59663187116695,-3.9748297916236845,232717,242350,109/10
767390130,生技醫療業,1760,寶齡富錦,1182573,1215672,2.20808291435242,-2.7226916470890172,129161,-10.871702758572635,7.981427633430259,115119,106610,109/10
775600000,生技醫療業,1762,中化生,1224760,963069,0.432338148355484,27.172611723562902,62016,288.26109391124874,191.64375431499133,240784,82561,109/10
1800000000,化學工業,1773,勝一,6351923,6148926,5.09307670593262,3.301340754466715,650400,3.8916051660516606,-0.21295039673456367,675711,677153,109/10
703469990,化學工業,1776,展宇,1086616,1345908,1.58993411064148,-19.265209806316626,124033,-11.792023090629106,-23.2042957919489,109407,142465,109/10
